Case,Platform,Publisher,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,VideoURL,Animation,Filters,Decorum_Z,Language_Z
31.0,Instagram Reels,NPR,11/1/23,15943,80,22.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,3.0,0.0,Hybrid,Why marigolds on Día de los Muertos?,1,0,0.25,0.0
32.0,Instagram Reels,NPR,11/1/23,6579,1833,29.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,Hybrid,Many hospitals in Israel are moving underground in case of a missile attack.⁠,0,0,0.5,0.25
33.0,Instagram Reels,NPR,11/1/23,7767,857,51.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,0.0,Hybrid,Israelis are rallying for the release of all Palestinian prisoners in…,0,0,0.5,0.25
34.0,Instagram Reels,NPR,11/2/23,496472,1803,46.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,,,1.0,3.0,1.0,Hybrid,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,0,0,,
35.0,Instagram Reels,NPR,11/3/23,7538,261,46.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,7.0,3.0,0.0,Hybrid,"The environmental justice movement got its start on the side of the highway in Warren County, N.C.",0,0,0.0,0.0
36.0,TikTok,NPR,11/1/23,470,24,22.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,,,1.0,2.0,1.0,Hybrid,Foreign nationals gathered at Gaza's border crossing with Egypt on…,0,0,,
37.0,TikTok,NPR,11/2/23,821,118,51.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,0.0,Hybrid,Israelis are rallying for the release of all Palestinian prisoners in…,0,0,0.5,0.25
38.0,TikTok,NPR,11/2/23,572,44,46.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,,,1.0,3.0,1.0,Hybrid,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,0,0,,
39.0,TikTok,NPR,11/2/23,612,220,29.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,Hybrid,Many hospitals in Israel are moving underground in case of a missile attack.⁠,0,0,0.5,0.25
40.0,TikTok,NPR,11/3/23,862,177,55.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,,,1.0,3.0,1.0,Hybrid,An Israeli strike hit the Bureij refugee camp in central Gaza on Thursday…,1,0,,
41.0,TikTok,NPR,11/6/23,2085,552,65.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,,,1.0,3.0,1.0,Hybrid,"At Ben Gurion Airport in Tel Aviv, new photographs highlight the…",0,0,,
42.0,TikTok,NPR,11/6/24,4826,419,215.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,0.0,Hybrid,Nearly a quarter of Americans support political violence heading into the 2024 presidential election,0,0,0.25,0.5
43.0,YouTube Shorts,Tampa Bay Times,8/6/23,12,1,215.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,7.0,3.0,0.0,Legacy,Why do we need coral reefs? Here’s why they are so important. - YouTube,0,0,0.5,0.0
