,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYGENERICFRAMESSECONDARY,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETGENERICFRAMESSECONDARY,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
119,95.0,2.0,2020,2020-09-24,https://www.cnn.com/2020/09/24/politics/trump-election-warnings-leaving-office/index.html,cnn,soft news,character traits,conflict,,negative,no,yes,yes,no,no,no,no,no,no,yes,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,horserace,illustration,ctiticizes the tweet,Selected,1.0,cnn2020
120,96.0,2.0,2020,2020-09-27,https://www.cnn.com/2020/09/27/politics/nancy-pelosi-amy-coney-barrett-obamacare-cnntv/index.html,cnn,soft news,policy issue,conflict,,negative,no,no,no,no,yes,yes,yes,no,no,yes,1.0,0.0,trump,cited,economic,,negative,no,no,policy issue,illustration,neutral,Selected,3.0,cnn2020
121,97.0,2.0,2020,2020-09-24,https://www.cnn.com/us/live-news/breonna-taylor-announcement/index.html,cnn,soft news,policy issue,conflict,,negative,no,no,no,no,yes,no,yes,no,no,yes,2.0,0.0,biden,cited,morality,,positive,no,no,policy issue,illustration,neutral,Selected,3.0,cnn2020
122,97.0,2.0,2020,2020-09-24,https://www.cnn.com/us/live-news/breonna-taylor-announcement/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,harris,cited,responsibility,,positive,no,no,call to action,illustration,neutral,Selected,0.0,cnn2020
123,99.0,2.0,2020,2020-10-15,https://www.foxnews.com/media/biden-hunter-story-trump-censor-twitter-facebook-trey-gowdy,fox,soft news,media,conflict,,negative,no,no,no,no,no,no,yes,no,yes,yes,1.0,2.0,trump,cited,conflict,,negative,no,yes,attack,illustration,neutral,Not Selected,3.0,fox2020
124,100.0,2.0,2020,2020-10-12,https://www.foxnews.com/media/cspan-steve-scully-hack-debate,fox,soft news,media,conflict,,negative,no,yes,no,no,no,no,no,no,yes,yes,1.0,1.0,trump,embedded_cited,conflict,,negative,yes,yes,attack,illustration,neutral,Not Selected,2.0,fox2020
125,101.0,2.0,2020,2020-10-16,https://www.foxnews.com/media/trump-shares-babylon-bee-article-twitter-biden,fox,soft news,media,conflict,,negative,no,yes,no,yes,no,no,yes,no,yes,yes,2.0,0.0,trump,embedded_cited,conflict,,negative,yes,no,media,trigger,neutral,Not Selected,3.0,fox2020
126,101.0,2.0,2020,2020-10-16,https://www.foxnews.com/media/trump-shares-babylon-bee-article-twitter-biden,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,yes,media,trigger,neutral,Not Selected,0.0,fox2020
127,102.0,2.0,2020,2020-10-21,https://www.foxnews.com/media/trump-threatens-to-release-lesley-stahl-interview-ahead-of-sundays-60-minutes-airing-fake-and-biased,fox,soft news,attack,conflict,,negative,no,yes,no,no,no,no,yes,no,yes,yes,3.0,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,3.0,fox2020
128,102.0,2.0,2020,2020-10-21,https://www.foxnews.com/media/trump-threatens-to-release-lesley-stahl-interview-ahead-of-sundays-60-minutes-airing-fake-and-biased,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
