Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Filters,Decorum_Z,Language_Z
32.0,Instagram Reels,NPR,Many hospitals in Israel are moving underground in case of a missile attack.⁠,11/1/23,6579,1833,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,0.0,Hybrid,0,0,0.5,0.25
33.0,Instagram Reels,NPR,Israelis are rallying for the release of all Palestinian prisoners in…,11/1/23,7767,857,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,3.0,0.0,Hybrid,0,0,0.5,0.25
34.0,Instagram Reels,NPR,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,11/2/23,496472,1803,,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,,,1.0,3.0,1.0,Hybrid,0,0,24.5,24.5
35.0,Instagram Reels,NPR,"The environmental justice movement got its start on the side of the highway in Warren County, N.C.",11/3/23,7538,261,,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,7.0,3.0,0.0,Hybrid,0,0,0.0,0.0
36.0,TikTok,NPR,Foreign nationals gathered at Gaza's border crossing with Egypt on…,11/1/23,470,24,22.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,,,1.0,2.0,1.0,Hybrid,0,0,24.5,24.5
37.0,TikTok,NPR,Israelis are rallying for the release of all Palestinian prisoners in…,11/2/23,821,118,51.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,3.0,0.0,Hybrid,0,0,0.5,0.25
38.0,TikTok,NPR,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,11/2/23,572,44,46.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,,,1.0,3.0,1.0,Hybrid,0,0,24.5,24.5
39.0,TikTok,NPR,Many hospitals in Israel are moving underground in case of a missile attack.⁠,11/2/23,612,220,29.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,0.0,Hybrid,0,0,0.5,0.25
40.0,TikTok,NPR,An Israeli strike hit the Bureij refugee camp in central Gaza on Thursday…,11/3/23,862,177,55.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,,,1.0,3.0,1.0,Hybrid,1,1,24.5,24.5
41.0,TikTok,NPR,"At Ben Gurion Airport in Tel Aviv, new photographs highlight the…",11/6/23,2085,552,65.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,,,1.0,3.0,1.0,Hybrid,0,0,24.5,24.5
42.0,TikTok,NPR,Nearly a quarter of Americans support political violence heading into the 2024 presidential election,11/6/24,4826,419,215.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,0.0,Hybrid,0,0,0.25,0.5
43.0,YouTube Shorts,Tampa Bay Times,Why do we need coral reefs? Here’s why they are so important. - YouTube,8/6/23,12,1,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,7.0,3.0,0.0,Legacy,0,0,0.5,0.0
44.0,YouTube Shorts,Tampa Bay Times,Tampa Bay family competes for $1 million ‘American Ninja Warrior’ prize,8/12/23,62,2,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,,4.0,3.0,0.0,Legacy,1,1,0.5,24.5
45.0,YouTube Shorts,Tampa Bay Times,Why Florida scientists have a hint of hope amid the coral bleaching crisis,8/21/23,27,2,,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,,4.0,7.0,2.0,0.0,Legacy,0,0,24.5,0.25
46.0,YouTube Shorts,Tampa Bay Times,Tampa Bay prepares for Tropical Storm Idalia ,8/28/23,172,8,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,7.0,3.0,0.0,Legacy,1,1,0.75,0.25
47.0,YouTube Shorts,Tampa Bay Times,What does a king tide in Tampa Bay mean for Idalia’s storm surge?,8/29/23,104,4,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,,4.0,7.0,3.0,1.0,Legacy,1,1,24.5,0.25
48.0,YouTube Shorts,Tampa Bay Times,Tarpon Springs Epiphany cross is retrieved under blue skies,1/6/24,14,4,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,,4.0,4.0,3.0,1.0,Legacy,1,1,24.5,0.25
49.0,YouTube Shorts,Tampa Bay Times,"The cross goes to John Hittos, 16, at Epiphany dive in Tarpon Springs",1/6/24,20,1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,0.0,Legacy,1,1,0.25,0.5
50.0,Instagram Reels,Tampa Bay Times,"A large, colorful tent is set up in the parking lot of St. Petersburg’s…",11/3/23,1024,16,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
51.0,Instagram Reels,Tampa Bay Times,Tampa International Airport is aiming to make electric air taxis a possibility.⁠..,11/6/23,689,22,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
52.0,Instagram Reels,Tampa Bay Times,"Lying in bed at Tampa General Hospital, Gavin Benyon’s left arm…",11/12/23,1069,11,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
53.0,Instagram Reels,Tampa Bay Times,"Meet War Feather, a retired racehorse born in Florida horse country.⁠..",11/18/23,244,8,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
54.0,Instagram Reels,Tampa Bay Times,California Gov. Gavin Newsom and Florida Gov. Ron DeSantis are facing off...,11/30/23,255,32,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,0.0,Legacy,1,1,0.0,0.0
55.0,Instagram Reels,Tampa Bay Times,A car accident at age 21 stole Barbara Walker’s sense of smell…,12/2/23,118,3,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
56.0,Instagram Reels,Tampa Bay Times,A Tampa Bay Times investigation found that more than 580 people in Florida have died from kratom,12/12/23,560,92,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,0.0,Legacy,0,0,0.0,0.0
57.0,TikTok,Tampa Bay Times,A man was rescued after a small plane crashed into the #FloridaEverglades in…,11/1/23,289,12,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,,,3.0,3.0,1.0,Legacy,1,1,24.5,24.5
58.0,TikTok,Tampa Bay Times,"A crew of about 15 workers were perched on top of the colorful, football…",11/2/23,53,0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,,,4.0,3.0,0.0,Legacy,1,1,24.5,24.5
59.0,TikTok,Tampa Bay Times,#TampaInternationalAirport is aiming to make electric #airtaxis a possibility…,11/3/23,65,2,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,,4.0,5.0,3.0,0.0,Legacy,1,1,24.5,0.25
60.0,TikTok,Tampa Bay Times,#Florida’s #coral is being returned the sea after being rescued from scorching…,11/3/23,35,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,7.0,3.0,0.0,Legacy,1,1,0.5,0.5
61.0,TikTok,Tampa Bay Times,A new partnership between @The Florida Aquarium and @Tampa General Hospital…,11/6/23,176,5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,0.0,Legacy,1,1,0.25,0.25
62.0,TikTok,Tampa Bay Times,"Meet Wyatt, a retired #racehorse. He was fierce and skittish and didn’t trust people",11/9/23,327,10,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,7.0,2.0,0.0,Legacy,1,1,0.25,0.25
63.0,TikTok,Tampa Bay Times,A car accident at age 21 stole Barbara Walker’s sense of smell,12/5/23,28,4,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,7.0,2.0,0.0,Legacy,0,0,0.5,0.25
64.0,YouTube Shorts,CNN,Indicted senator attends classified briefing,11/1/23,1700,194,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
65.0,YouTube Shorts,CNN,Israel official defends strike on refugee camp,11/1/23,5600,2200,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
66.0,YouTube Shorts,CNN,Trump Jr. pivots blame in testimony ,11/1/23,12000,1600,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
