Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,Animations,Filters,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Decorum_Z,Language_Z
38,TikTok,NPR,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,11/2/23,572,44,46.0,1,0,0,0,0,1,1,1,0,0,0,2,1,2,3,3,-93,-93,1,3,1,Hybrid,0,24.5,24.5
39,TikTok,NPR,Many hospitals in Israel are moving underground in case of a missile attack.⁠,11/2/23,612,220,29.0,1,0,0,0,1,1,1,1,0,1,0,1,1,3,2,3,3,2,1,3,0,Hybrid,0,0.5,0.75
40,TikTok,NPR,An Israeli strike hit the Bureij refugee camp in central Gaza on Thursday…,11/3/23,862,177,55.0,0,1,1,1,0,1,1,0,0,0,0,2,1,2,4,3,-93,-93,1,3,1,Hybrid,1,24.5,24.5
41,TikTok,NPR,"At Ben Gurion Airport in Tel Aviv, new photographs highlight the…",11/6/23,2085,552,65.0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,4,3,-93,-93,1,3,1,Hybrid,0,24.5,24.5
42,TikTok,NPR,Nearly a quarter of Americans support political violence heading into the 2024 presidential election,11/6/24,4826,419,215.0,1,1,1,1,1,0,0,1,0,0,0,1,1,5,2,5,2,3,2,3,0,Hybrid,1,0.75,0.5
43,YouTube Shorts,Tampa Bay Times,Why do we need coral reefs? Here’s why they are so important. - YouTube,8/6/23,12,1,,1,0,0,0,1,1,1,1,1,1,0,1,1,4,4,4,3,1,7,3,0,Legacy,0,0.5,1.0
44,YouTube Shorts,Tampa Bay Times,Tampa Bay family competes for $1 million ‘American Ninja Warrior’ prize,8/12/23,62,2,,1,1,1,1,1,0,1,1,1,0,0,1,1,3,4,3,3,-93,4,3,0,Legacy,1,0.5,24.5
45,YouTube Shorts,Tampa Bay Times,Why Florida scientists have a hint of hope amid the coral bleaching crisis,8/21/23,27,2,,0,0,0,0,1,1,0,1,0,1,0,1,1,4,4,4,-93,2,7,2,0,Legacy,0,24.5,0.75
46,YouTube Shorts,Tampa Bay Times,Tampa Bay prepares for Tropical Storm Idalia ,8/28/23,172,8,,1,1,1,1,0,1,1,1,1,0,0,1,1,5,5,5,4,2,7,3,0,Legacy,1,0.25,0.75
47,YouTube Shorts,Tampa Bay Times,What does a king tide in Tampa Bay mean for Idalia’s storm surge?,8/29/23,104,4,,0,1,1,1,0,1,1,0,0,0,0,1,1,4,3,4,-93,2,7,3,1,Legacy,1,24.5,0.75
48,YouTube Shorts,Tampa Bay Times,Tarpon Springs Epiphany cross is retrieved under blue skies,1/6/24,14,4,,1,1,1,1,1,1,1,1,1,0,0,1,1,5,1,5,-93,2,4,3,1,Legacy,1,24.5,0.75
49,YouTube Shorts,Tampa Bay Times,"The cross goes to John Hittos, 16, at Epiphany dive in Tarpon Springs",1/6/24,20,1,,1,1,1,1,1,0,1,1,0,0,0,1,1,4,2,4,2,3,4,2,0,Legacy,1,0.75,0.5
50,Instagram Reels,Tampa Bay Times,"A large, colorful tent is set up in the parking lot of St. Petersburg’s…",11/3/23,1024,16,,1,1,1,1,1,1,0,1,1,0,0,1,1,5,4,4,-93,-93,4,3,0,Legacy,1,24.5,24.5
51,Instagram Reels,Tampa Bay Times,Tampa International Airport is aiming to make electric air taxis a possibility.⁠..,11/6/23,689,22,,0,1,1,1,1,1,1,0,0,0,0,1,1,3,3,3,-93,2,5,3,0,Legacy,1,24.5,0.75
52,Instagram Reels,Tampa Bay Times,"Lying in bed at Tampa General Hospital, Gavin Benyon’s left arm…",11/12/23,1069,11,,1,1,1,1,1,1,1,1,1,0,0,1,0,4,3,4,2,2,5,2,0,Legacy,1,0.75,0.75
53,Instagram Reels,Tampa Bay Times,"Meet War Feather, a retired racehorse born in Florida horse country.⁠..",11/18/23,244,8,,1,1,1,1,1,1,1,1,1,1,0,1,1,4,2,4,2,2,7,2,0,Legacy,1,0.75,0.75
54,Instagram Reels,Tampa Bay Times,California Gov. Gavin Newsom and Florida Gov. Ron DeSantis are facing off...,11/30/23,255,32,,1,1,1,1,1,0,0,1,0,0,0,1,1,3,2,4,1,1,2,1,0,Legacy,1,1.0,1.0
55,Instagram Reels,Tampa Bay Times,A car accident at age 21 stole Barbara Walker’s sense of smell…,12/2/23,118,3,,0,0,0,0,1,1,1,1,1,1,0,1,1,4,1,4,3,2,7,2,0,Legacy,0,0.5,0.75
56,Instagram Reels,Tampa Bay Times,A Tampa Bay Times investigation found that more than 580 people in Florida have died from kratom,12/12/23,560,92,,1,1,1,1,1,1,1,1,1,1,0,1,1,4,4,4,1,1,3,2,0,Legacy,1,1.0,1.0
57,TikTok,Tampa Bay Times,A man was rescued after a small plane crashed into the #FloridaEverglades in…,11/1/23,289,12,10.0,1,1,1,1,0,1,1,0,0,0,0,1,1,4,2,5,-93,-93,3,3,1,Legacy,1,24.5,24.5
58,TikTok,Tampa Bay Times,"A crew of about 15 workers were perched on top of the colorful, football…",11/2/23,53,0,2.0,1,1,1,1,1,1,0,1,1,0,0,1,1,5,4,4,-93,-93,4,3,0,Legacy,1,24.5,24.5
59,TikTok,Tampa Bay Times,#TampaInternationalAirport is aiming to make electric #airtaxis a possibility…,11/3/23,65,2,3.0,0,1,1,1,1,1,1,0,0,0,0,1,1,3,3,3,-93,2,5,3,0,Legacy,1,24.5,0.75
60,TikTok,Tampa Bay Times,#Florida’s #coral is being returned the sea after being rescued from scorching…,11/3/23,35,0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,7,3,0,Legacy,1,0.5,0.5
61,TikTok,Tampa Bay Times,A new partnership between @The Florida Aquarium and @Tampa General Hospital…,11/6/23,176,5,3.0,1,1,1,1,1,1,1,1,1,0,0,1,0,4,3,4,2,2,5,2,0,Legacy,1,0.75,0.75
62,TikTok,Tampa Bay Times,"Meet Wyatt, a retired #racehorse. He was fierce and skittish and didn’t trust people",11/9/23,327,10,9.0,1,1,1,1,1,1,1,1,1,1,0,1,1,4,2,4,2,2,7,2,0,Legacy,1,0.75,0.75
63,TikTok,Tampa Bay Times,A car accident at age 21 stole Barbara Walker’s sense of smell,12/5/23,28,4,0.0,0,0,0,0,1,1,1,1,1,1,0,1,1,4,1,4,3,2,7,2,0,Legacy,0,0.5,0.75
64,YouTube Shorts,CNN,Indicted senator attends classified briefing,11/1/23,1700,194,,0,0,0,0,1,0,0,1,0,0,0,1,1,4,4,4,1,1,2,2,0,Legacy,0,1.0,1.0
65,YouTube Shorts,CNN,Israel official defends strike on refugee camp,11/1/23,5600,2200,,1,1,1,1,1,1,0,1,0,0,0,1,1,2,3,2,1,1,1,1,0,Legacy,1,1.0,1.0
66,YouTube Shorts,CNN,Trump Jr. pivots blame in testimony ,11/1/23,12000,1600,,1,1,1,1,1,1,0,1,0,1,0,1,0,3,2,3,2,1,2,2,0,Legacy,1,0.75,1.0
67,YouTube Shorts,CNN,Hall of fame coach Bob Knight dies at 83,11/1/23,1000,57,,1,1,1,1,1,1,0,1,0,1,0,1,0,3,2,3,2,1,2,2,0,Legacy,1,0.75,1.0
68,YouTube Shorts,CNN,Rabbi confronts President Biden,11/2/23,2900,716,,1,1,1,1,0,0,0,1,0,1,0,1,1,3,3,3,1,1,1,1,0,Legacy,1,1.0,1.0
69,YouTube Shorts,CNN,Explosions erupt over Gaza,11/2/23,3000,571,,0,1,1,1,0,1,1,1,0,1,0,2,1,2,2,3,-93,1,1,2,1,Legacy,1,24.5,1.0
70,YouTube Shorts,CNN,Tense exchanges shared during Eric Trump’s testimony - YouTube,11/2/23,18000,1800,,1,1,1,1,1,0,1,1,0,0,0,1,1,3,2,4,1,1,2,1,1,Legacy,1,1.0,1.0
71,Instagram Reels,CNN,"Injured Palestinians have begun arriving in Egypt, officials say…",11/1/23,8236,1846,,1,1,1,1,1,1,0,1,1,1,0,1,1,5,1,5,1,1,1,1,0,Legacy,1,1.0,1.0
72,Instagram Reels,CNN,After a mother noticed one of her son’s eyes appeared to be black...,11/1/23,233774,2775,,1,0,0,0,0,1,1,1,1,1,0,1,1,5,2,4,2,1,7,1,1,Legacy,0,0.75,1.0
73,Instagram Reels,CNN,An Israeli strike on Gaza’s densely populated Jabalya…,11/1/23,13501,5565,,1,1,1,1,1,1,0,1,0,0,0,1,1,2,3,2,1,1,1,1,0,Legacy,1,1.0,1.0
74,Instagram Reels,CNN,CNN’s Salma Abdelaziz reports on Tuesday’s airstrike…,11/1/23,41548,8698,,0,1,1,1,1,1,1,1,0,1,0,2,1,3,3,3,2,1,1,2,1,Legacy,1,0.75,1.0
75,Instagram Reels,CNN,A collision involving a truck with a trailer full of fireworks gave…,11/1/23,23289,261,,0,1,1,1,1,1,1,1,0,0,0,1,1,3,2,4,2,2,3,2,0,Legacy,1,0.75,0.75
