,Participant,Pphone,Date,VRTime,FPSTime,Birth,BA2,BA3,BA4,AIA1,AIA2,AIA3,Session,SameRm,SameVR,SameNot,SameR,SpaceInv1,SpaceInv2,SpaceInv3,SpaceInv4,SpaceInv5,TempInv1,MC1,TempInv2,TempInv3,TempInv4,DynImm1,DynImm2,DynImm3,DynImm4,DynImm5,RealImm1,RealImm2,RealImm3,RealImm4,CoPresence1,CoPresence2,CoPresence3,CoPresence4,Auto1,Auto2,Auto3,Comp1,MC2,Comp2,Comp3,WP1,WP2,UWP4,BI1,BI2,BI3,PV1,PV2,BP1,BP2,BP3,MC3,Dur,Point,Age,GroupH0A1,AIA,BA_Pre,SpaceInv,TempInv,DynImm,RealImm,CoPresence,Auto,Comp,Enjoyment,WP,BI,BP,BA_Post
26,27,4495.0,20220602.0,,,1994.0,1.0,1.0,1.0,3.0,5.0,2.0,1.5,1.5,1.5,4.5,2.0,4.0,2.0,1.5,4.5,5.0,3.5,1.0,4.5,4.5,5.0,2.0,2.0,3.0,1.5,1.5,4.0,5.0,5.0,4.0,1.0,1.5,1.0,1.0,4.5,4.0,1.5,3.5,1.0,3.0,4.0,1.5,1.5,2.0,3.0,1.5,2.5,2.0,2.5,4.0,5.0,2.0,1.0,243.5,4.5,28.0,0.0,0.3333333333333335,-2.0,3.4,4.375,2.0,4.5,1.125,3.333333333333333,3.5,2.5,1.6666666666666665,2.3333333333333335,3.6666666666666665,2.5555555555555554
27,28,4461.0,20220602.0,,,1998.0,5.0,2.0,2.0,4.0,1.0,1.0,1.5,3.5,3.5,3.5,2.0,4.0,4.0,4.0,4.5,4.0,4.5,2.5,4.5,5.0,5.0,4.0,3.5,4.0,3.5,2.0,3.5,3.5,4.0,4.0,3.5,3.5,3.0,3.5,3.5,4.0,2.5,3.0,2.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.5,4.0,3.5,2.5,199.5,4.5,24.0,1.0,-1.0,0.0,4.1,4.75,3.4,3.75,3.375,3.3333333333333335,3.5,3.4000000000000004,4.0,4.0,4.0,4.0
28,29,3149.0,20220602.0,,240.0,2001.0,1.0,1.0,1.0,3.0,1.0,1.0,1.5,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.5,1.5,1.5,5.0,4.0,4.5,5.0,5.0,5.0,4.5,4.5,3.5,3.5,2.0,4.5,2.0,3.0,3.0,5.0,5.0,5.0,4.0,4.5,4.5,3.0,3.0,4.0,4.0,3.0,1.0,245.5,4.5,21.0,1.0,-1.3333333333333333,-2.0,5.0,5.0,3.3,4.625,4.75,3.0,3.5,3.8499999999999996,5.0,4.333333333333333,3.6666666666666665,4.333333333333333
29,30,981.0,20220602.0,,60.0,2002.0,5.0,3.0,2.0,4.0,4.0,4.0,1.5,4.5,5.0,2.5,1.0,5.0,5.0,4.5,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.5,4.0,4.5,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,3.5,221.0,4.5,20.0,0.0,1.0,0.3333333333333335,4.9,5.0,4.6,5.0,4.25,5.0,4.333333333333333,4.5,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334
30,31,8824.0,20220603.0,,,1997.0,4.0,2.0,2.0,4.0,1.0,2.0,1.5,5.0,4.5,1.5,2.0,4.5,4.0,4.0,4.5,4.0,4.0,1.0,4.0,4.5,4.5,5.0,5.0,5.0,4.5,3.5,2.5,3.0,3.0,5.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,4.5,2.5,5.0,4.0,3.5,3.0,2.0,2.5,2.0,3.0,3.0,3.0,4.5,4.0,3.0,1.5,262.0,4.5,25.0,1.0,-0.6666666666666665,-0.3333333333333335,4.2,4.25,4.6,3.375,4.625,4.0,4.5,4.4,2.833333333333333,2.5,3.833333333333333,3.0555555555555554
31,32,1697.0,20220603.0,,,2000.0,1.0,1.0,1.0,4.0,3.0,2.0,1.5,3.0,4.0,3.5,2.0,3.0,3.0,3.5,3.0,3.5,4.0,3.0,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.0,2.0,2.0,2.5,3.5,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.5,2.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,271.5,4.5,22.0,0.0,0.0,-2.0,3.2,4.0,3.5,2.5,3.0,3.6666666666666665,3.0,3.2,4.0,4.0,4.0,4.0
32,33,4399.0,20220603.0,,180.0,1998.0,1.0,1.0,1.0,4.0,3.0,3.0,1.5,4.5,5.0,3.0,3.5,5.0,5.0,5.0,4.5,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,4.5,5.0,4.5,4.5,4.5,5.0,5.0,5.0,5.0,3.5,4.5,3.5,4.0,5.0,5.0,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,260.5,4.5,24.0,0.0,0.3333333333333335,-2.0,4.9,5.0,4.9,4.75,4.625,5.0,3.666666666666667,4.449999999999999,4.833333333333334,4.5,5.0,4.777777777777779
33,34,4158.0,20220603.0,,180.0,1998.0,5.0,2.0,2.0,4.0,3.0,3.0,1.5,4.5,4.5,3.5,1.5,4.0,4.0,4.0,4.0,4.5,5.0,1.0,5.0,5.0,5.0,3.5,5.0,4.5,3.5,2.5,3.5,3.5,3.5,4.5,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,3.5,3.0,4.0,2.5,3.0,5.0,5.0,3.0,1.0,241.5,4.5,24.0,1.0,0.3333333333333335,0.0,4.1,5.0,3.8,3.75,4.0,3.333333333333333,5.0,4.1,4.333333333333333,3.5,4.333333333333333,4.055555555555555
34,35,9202.0,20220607.0,,,2002.0,1.0,1.0,1.0,4.0,1.0,1.0,1.5,4.0,4.0,4.0,2.0,4.0,3.0,3.5,4.5,3.5,5.0,2.5,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,3.5,3.0,4.0,4.5,3.5,4.5,3.5,4.0,4.0,4.0,4.5,4.5,2.5,2.5,2.5,3.5,3.5,4.0,3.5,3.5,4.0,4.5,2.5,3.0,134.0,4.5,20.0,1.0,-1.0,-2.0,3.7,5.0,4.2,3.625,3.75,4.0,4.333333333333333,4.0,2.5,3.6666666666666665,3.666666666666667,3.2777777777777777
35,36,2305.0,20220607.0,75.0,45.0,2003.0,2.0,1.0,1.0,4.0,4.0,4.0,1.5,4.5,4.5,4.0,1.0,5.0,5.0,5.0,5.0,4.5,5.0,1.0,4.5,5.0,5.0,4.0,4.0,5.0,3.5,3.5,5.0,4.0,5.0,5.0,4.0,5.0,3.5,5.0,5.0,5.0,4.0,3.5,3.5,4.0,4.5,5.0,5.0,5.0,2.5,5.0,5.0,4.5,4.0,5.0,5.0,4.0,3.0,307.5,4.5,19.0,0.0,1.0,-1.6666666666666667,4.9,4.875,4.0,4.75,4.375,4.666666666666666,4.0,4.35,5.0,4.166666666666666,4.666666666666667,4.611111111111112
