,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
363,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,yes,no,other,trigger,ctiticizes the tweet,,,cnn2016
364,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded,conflict,negative,yes,no,other,trigger,ctiticizes the tweet,,,cnn2016
365,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,linked,conflict,negative,no,no,attack,trigger,ctiticizes the tweet,,,cnn2016
366,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,yes,no,other,trigger,ctiticizes the tweet,,,cnn2016
367,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,cited_linked,conflict,negative,yes,yes,attack,trigger,ctiticizes the tweet,,,cnn2016
368,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,yes,yes,attack,trigger,ctiticizes the tweet,,,cnn2016
369,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,yes,yes,attack,trigger,ctiticizes the tweet,,,cnn2016
370,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,no,no,other,trigger,ctiticizes the tweet,,,cnn2016
371,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,no,no,other,trigger,ctiticizes the tweet,,,cnn2016
372,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,conflict,negative,no,no,other,trigger,ctiticizes the tweet,,,cnn2016
373,1676,1,2016,,https://www.cnn.com/2016/10/18/politics/donald-trump-rigged-vote-twitter-2012/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,yes,no,no,no,no,no,no,,,trump,embedded_cited,morality,positive,no,no,other,trigger,neutral,,,cnn2016
374,1678,1,2016,,https://www.cnn.com/2016/10/20/politics/al-smith-dinner-hillary-clinton-donald-tump/index.html,cnn,soft news,media,conflict,negative,no,no,no,no,no,yes,yes,no,yes,yes,1,0,trump,cited,conflict,negative,no,no,media,non-primary source,neutral,,,cnn2016
375,1679,1,2016,,https://www.cnn.com/2016/10/20/politics/supreme-court-2016-election-decision/index.html,cnn,editorial,horserace,conflict,negative,no,yes,yes,yes,yes,yes,yes,no,yes,yes,1,0,trump,embedded_cited,conflict,negative,no,no,attack,illustration,ctiticizes the tweet,,,cnn2016
